"","height","position","breathingBeltRespiration","sensorRespiration","percentError","deviation"
"227",3,"Front",9.46372222900391,11.0200415043324,0.164451073020589,-1.55631927532849
"228",3,"Front",8.00533676147461,9.85725189476236,0.231335069150373,-1.85191513328775
"229",3,"Front",7.39523410797119,11.3586949022927,0.535947981693963,-3.96346079432151
"230",3,"Front",9.69305324554443,10.3873553780284,0.0716288371574887,-0.694302132483969
"231",3,"Front",8.33912372589111,10.3729778217407,0.24389302314042,-2.03385409584959
"232",3,"Front",7.24054670333862,9.21328680667773,0.272457341160368,-1.97274010333911
"233",3,"Front",6.48882484436035,7.38992716893838,0.138869879553184,-0.90110232457803
"234",3,"Front",6.70640850067139,7.03941864297351,0.0496555111828905,-0.33301014230212
"235",3,"Front",7.29335498809814,7.93447205168929,0.0879042724010245,-0.64111706359115
"236",3,"Front",6.92840671539307,8.8132504459327,0.272045768668865,-1.88484373053963
"237",3,"Front",4.74308300018311,7.99097433577231,0.684763757130924,-3.2478913355892
"238",3,"Front",6.53594779968262,8.61171128497446,0.317591809009343,-2.07576348529184
"239",3,"Front",6.53594779968262,7.27588401066348,0.113210238768552,-0.73993621098086
"240",3,"Front",6.53594779968262,8.09035095057124,0.23782367891067,-1.55440315088862
"241",3,"Front",8.00533676147461,8.53392601462753,0.0660296086101883,-0.528589253152921
"242",3,"Front",9.22131156921387,9.37930070249061,0.017133043612169,-0.15798913327674
"243",3,"Front",10.843373298645,11.8468276528361,0.092540792109084,-1.0034543541911
"244",3,"Front",8.40925025939941,9.06149103477502,0.0775622980950733,-0.65224077537561
"245",3,"Back",12.5838928222656,5.29254209372147,-0.579419328464322,7.29135072854413
"246",3,"Back",11.5919628143311,2.36082739928024,-0.796339288083157,9.23113541505086
"247",3,"Back",6.77710819244385,3.6027967218637,-0.468387309224214,3.17431147058015
"248",3,"Back",6.80272102355957,4.27723950097818,-0.37124578735994,2.52548152258139
"249",3,"Back",8.9730806350708,5.13115250206733,-0.428161552230736,3.84192813300347
"250",3,"Back",10.3181428909302,4.78662001805653,-0.536096750291757,5.53152287287367
"251",3,"Back",9.25925922393799,4.21131232038432,-0.545178267663486,5.04794690355367
"252",3,"Back",13.4168157577515,3.43039187546527,-0.74432145917459,9.98642388228623
"253",3,"Back",10.8932466506958,3.43152023517265,-0.684986455809897,7.46172641552315
"254",3,"Back",12.8095645904541,5.51811069686979,-0.569219495486835,7.29145389358431
"255",3,"Back",10.6837606430054,6.90019958085178,-0.35414131676852,3.78356106215362
"256",3,"Back",9.77198696136475,12.8748741178833,0.317528785986551,-3.10288715651855
"257",3,"Back",11.8858957290649,9.73300818617215,-0.181129600323536,2.15288754289275
"258",3,"Back",2.80636096000671,4.64212600575891,0.654144307134251,-1.8357650457522
"259",3,"Back",7.31112909317017,7.62451581480878,0.0428643397818494,-0.313386721638611
"260",3,"Back",9.5238094329834,10.2402529944791,0.075226574674465,-0.7164435614957
"261",3,"Back",12.1293802261353,9.25977434255021,-0.236583059487402,2.86960588358509
"262",3,"Back",7.61421346664429,5.63340805777389,-0.260145767852155,1.9808054088704
"263",3,"Back",10.7270565032959,6.16635693200256,-0.425158529731997,4.56069957129334
"264",3,"Back",11.4942531585693,4.4600099658243,-0.611979142594468,7.034243192745
"265",3,"Back",16.216215133667,6.61510399396918,-0.592068559806206,9.60111113969782
"266",3,"Back",16.470588684082,9.77323206515006,-0.406625212212639,6.69735661893194
"267",3,"Back",11.1940298080444,5.41717217288249,-0.516065950709767,5.77685763516191
"268",3,"Back",9.14634132385254,4.90101335104951,-0.464155865442254,4.24532797280303
"269",3,"Back",21.6606502532959,4.02864793585238,-0.814010757352985,17.6320023174435
"270",3,"Back",12.8424654006958,4.16162443636875,-0.675948168321071,8.68084096432705
"271",3,"Back",10.2389078140259,5.71617513356334,-0.441720226669786,4.52273268046256
"272",3,"Back",6.36492252349854,10.9643035621819,0.722613829422588,-4.59938103868336
"273",4,"Front",8.5877857208252,9.6655763820602,0.125502742647779,-1.077790661235
"274",4,"Front",8.3798885345459,8.91789795957019,0.0642024560119575,-0.53800942502429
"275",4,"Front",9.5846643447876,6.51177775206492,-0.320604507594864,3.07288659272268
"276",4,"Front",11.0395584106445,6.68029694545507,-0.394876434639466,4.35926146518943
"277",4,"Front",5.20833349227905,6.3421242150814,0.217687812134746,-1.13379072280235
"278",4,"Front",5.20833349227905,5.78482718216515,0.110686785080239,-0.5764936898861
"279",4,"Front",6.25,4.77114166268621,-0.236617333970206,1.47885833731379
"280",4,"Front",6.52883577346802,5.21553336911472,-0.201154149058293,1.3133024043533
"281",4,"Front",5.66037750244141,6.27539087928946,0.108652360479983,-0.61501337684805
"282",4,"Front",5.74712657928467,6.70888618405413,0.167346167080449,-0.96175960476946
