"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)"
,,,,,,187.19999999999999,2.6315078735351562,,187.19999999999999,3.9524459838867188,
,,,,,,187.30000000000001,2.644287109375,,187.30000000000001,3.8809051513671875,
,,,,,,187.40000000000001,2.6774978637695312,,187.40000000000001,3.8144760131835938,
,,,,,,187.5,2.7311553955078125,,187.5,3.755706787109375,
,,,,,,187.59999999999999,2.818023681640625,,187.59999999999999,3.7046127319335938,
,,,,,,187.69999999999999,2.927886962890625,,187.69999999999999,3.6509552001953125,
,,,,,,187.80000000000001,3.0505294799804688,,187.80000000000001,3.5845260620117188,
,,,,,,187.90000000000001,3.1884994506835938,,187.90000000000001,3.489990234375,
,,,,,,188,3.334136962890625,,188,3.3852310180664062,
,,,,,,188.09999999999999,3.5232009887695312,,188.09999999999999,3.3009185791015625,
,,,,,,188.19999999999999,3.7454910278320312,,188.19999999999999,3.2396011352539062,
,,,,,,188.30000000000001,3.8885726928710938,,188.30000000000001,3.1782760620117188,
,,,,,,188.40000000000001,3.9703292846679688,,188.40000000000001,3.1271820068359375,
,,,,,,188.5,4.0444259643554688,,188.5,3.0914077758789062,
,,,,,,188.59999999999999,4.0980758666992188,,188.59999999999999,3.0633010864257812,
,,,,,,188.69999999999999,4.1082992553710938,,188.69999999999999,3.0352020263671875,
,,,,,,188.80000000000001,4.0853042602539062,,188.80000000000001,2.99176025390625,
,,,,,,188.90000000000001,4.0469818115234375,,188.90000000000001,2.9381103515625,
,,,,,,189,3.98565673828125,,189,2.8895645141601562,
,,,,,,189.09999999999999,3.903900146484375,,189.09999999999999,2.8410186767578125,
,,,,,,189.19999999999999,3.8349151611328125,,189.19999999999999,2.7975845336914062,
,,,,,,189.30000000000001,3.7812576293945312,,189.30000000000001,2.761810302734375,
,,,,,,189.40000000000001,3.709716796875,,189.40000000000001,2.7311553955078125,
,,,,,,189.5,3.6254043579101562,,189.5,2.690277099609375,
,,,,,,189.59999999999999,3.5283126831054688,,189.59999999999999,2.634063720703125,
,,,,,,189.69999999999999,3.4286651611328125,,189.69999999999999,2.5906295776367188,
,,,,,,189.80000000000001,3.3392410278320312,,189.80000000000001,2.5753021240234375,
,,,,,,189.90000000000001,3.2651519775390625,,189.90000000000001,2.5497512817382812,
,,,,,,190,3.2089385986328125,10.033444404602051,190,2.51397705078125,9.9502487182617188
,,,,,,190.09999999999999,3.1731719970703125,,190.09999999999999,2.5037612915039062,
,,,,,,190.19999999999999,3.1450653076171875,,190.19999999999999,2.4935379028320312,
,,,,,,190.30000000000001,3.0990753173828125,,190.30000000000001,2.4730987548828125,
,,,,,,190.40000000000001,3.0530853271484375,,190.40000000000001,2.450103759765625,
,,,,,,190.5,3.0224227905273438,,190.5,2.4373321533203125,
,,,,,,190.59999999999999,2.9943161010742188,,190.59999999999999,2.4271087646484375,
,,,,,,190.69999999999999,2.9508819580078125,,190.69999999999999,2.4194412231445312,
,,,,,,190.80000000000001,2.8895645141601562,,190.80000000000001,2.4117813110351562,
,,,,,,190.90000000000001,2.8486862182617188,,190.90000000000001,2.4066696166992188,
,,,,,,191,2.8231353759765625,,191,2.3964462280273438,
,,,,,,191.09999999999999,2.8154678344726562,,191.09999999999999,2.3811187744140625,
,,,,,,191.19999999999999,2.8026962280273438,,191.19999999999999,2.36834716796875,
,,,,,,191.30000000000001,2.782257080078125,,191.30000000000001,2.358123779296875,
,,,,,,191.40000000000001,2.7669219970703125,,191.40000000000001,2.3606796264648438,
,,,,,,191.5,2.7567062377929688,,191.5,2.3606796264648438,
,,,,,,191.59999999999999,2.73626708984375,,191.59999999999999,2.3785629272460938,
,,,,,,191.69999999999999,2.7183761596679688,,191.69999999999999,2.4092254638671875,
,,,,,,191.80000000000001,2.7132720947265625,,191.80000000000001,2.4347763061523438,
,,,,,,191.90000000000001,2.7004928588867188,,191.90000000000001,2.4807662963867188,
,,,,,,192,2.6800537109375,,192,2.5829620361328125,
,,,,,,192.09999999999999,2.6800537109375,,192.09999999999999,2.708160400390625,
,,,,,,192.19999999999999,2.6774978637695312,,192.19999999999999,2.8384628295898438,
,,,,,,192.30000000000001,2.6596145629882812,,192.30000000000001,3.0070953369140625,
,,,,,,192.40000000000001,2.644287109375,,192.40000000000001,3.168060302734375,
,,,,,,192.5,2.6417312622070312,,192.5,3.2906951904296875,
,,,,,,192.59999999999999,2.6468353271484375,,192.59999999999999,3.387786865234375,
,,,,,,192.69999999999999,2.6545028686523438,,192.69999999999999,3.4976577758789062,
,,,,,,192.80000000000001,2.6596145629882812,,192.80000000000001,3.6228485107421875,
,,,,,,192.90000000000001,2.66217041015625,,192.90000000000001,3.6943893432617188,
,,,,,,193,2.6774978637695312,,193,3.6765060424804688,
,,,,,,193.09999999999999,2.7183761596679688,,193.09999999999999,3.6024093627929688,
,,,,,,193.19999999999999,2.7848052978515625,,193.19999999999999,3.5155410766601562,
,,,,,,193.30000000000001,2.8665695190429688,,193.30000000000001,3.4312210083007812,
,,,,,,193.40000000000001,2.9585494995117188,,193.40000000000001,3.3315811157226562,
,,,,,,193.5,3.03009033203125,,193.5,3.23193359375,
,,,,,,193.59999999999999,3.0505294799804688,,193.59999999999999,3.1552810668945312,
,,,,,,193.69999999999999,3.0556411743164062,,193.69999999999999,3.093963623046875,
,,,,,,193.80000000000001,3.0914077758789062,,193.80000000000001,3.037750244140625,
,,,,,,193.90000000000001,3.1782760620117188,,193.90000000000001,2.9713211059570312,
,,,,,,194,3.28814697265625,,194,2.8589019775390625,
