"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)"
,,,,,,43.399999999999999,3.2753677368164062,
,,,,,,43.5,3.3290252685546875,
,,,,,,43.600000000000001,3.405670166015625,
,,,,,,43.700000000000003,3.4951019287109375,
,,,,,,43.799999999999997,3.5947418212890625,
,,,,,,43.899999999999999,3.6841659545898438,
,,,,,,44,3.7838134765625,
,,,,,,44.100000000000001,3.8987884521484375,
,,,,,,44.200000000000003,4.0214309692382812,
,,,,,,44.299999999999997,4.13385009765625,
,,,,,,44.399999999999999,4.2053909301757812,
,,,,,,44.5,4.197723388671875,
,,,,,,44.600000000000001,4.1287384033203125,
,,,,,,44.700000000000003,4.0265426635742188,
,,,,,,44.799999999999997,3.9141159057617188,
,,,,,,44.899999999999999,3.8195877075195312,
,,,,,,45,3.737823486328125,
,,,,,,45.100000000000001,3.6611709594726562,
,,,,,,45.200000000000003,3.5947418212890625,
,,,,,,45.299999999999997,3.5257568359375,
,,,,,,45.399999999999999,3.4516677856445312,
,,,,,,45.5,3.3903427124023438,
,,,,,,45.600000000000001,3.3392410278320312,
,,,,,,45.700000000000003,3.3009185791015625,
,,,,,,45.799999999999997,3.2523727416992188,
,,,,,,45.899999999999999,3.2012710571289062,
,,,,,,46,3.1731719970703125,
,,,,,,46.100000000000001,3.1808319091796875,
,,,,,,46.200000000000003,3.1936111450195312,
,,,,,,46.299999999999997,3.17572021484375,
,,,,,,46.399999999999999,3.150177001953125,
,,,,,,46.5,3.13995361328125,
,,,,,,46.600000000000001,3.1373977661132812,
,,,,,,46.700000000000003,3.13995361328125,
,,,,,,46.799999999999997,3.1348419189453125,
,,,,,,46.899999999999999,3.1322860717773438,
,,,,,,47,3.1450653076171875,
,,,,,,47.100000000000001,3.1603927612304688,
